1,1983,2/1/2018, , 
1,1983, ,10/4/2018, 
2,3839,28/05/2018, , 
9,2377,10/06/2018, , 
4,1256,12/06/2018, , 
6,9920,24/06/2018, , 
20,9920,24/06/2018, , 
10,3776,06/08/2018, , 
2,3839, ,10/08/2018, 
8,4168,22/08/2018, , 
3,4168,22/08/2018, , 
7,4168,22/08/2018, , 
4,1256, ,09/09/2018, 
9,2377, ,18/09/2018, 
10,3776, ,31/10/2018, 
15,6507,04/11/2018, , 
12,3272,04/11/2018, , 
6,9920, ,19/11/2018, 
20,9920, ,19/11/2018, 
17,4725,09/12/2018, , 
8,4168, ,08/12/2018, 
3,4168, ,08/12/2018, 
7,4168, ,08/12/2018, 
15,6507, ,22/12/2018, 
19,8236,25/01/2019, , 
3,2902,18/01/2019, , 
12,3272, ,02/02/2019, 
17,4725, ,22/02/2019, 
11,2482,06/03/2019, , 
16,9176,23/09/2020, , 
3,2902, ,26/09/2020, 
14,5710,10/11/2020, , 
19,8236, ,03/12/2020, 
11,2482, ,22/12/2020, 
18,2717,17/01/2021, , 
15,9933,05/04/2021, , 
14,5710, ,12/05/2021, 
8,2377,13/05/2021, , 
14,1784,17/06/2021, , 
13,4330,26/07/2021, , 
5,9562,27/08/2021, , 
4,1234,30/08/2021, , 
17,2974,03/09/2021, ,
15,9933, ,11/10/2021, 
8,2377, ,11/10/2021, 
13,4330, ,11/10/2021, 
15,9933, ,13/10/2021, 
15,8875,15/12/2021, , 
18,3192, , ,Reserved by: 3192
18,3192,06/01/2022, , 
5,9562, ,10/06/2022, 
1,5183,14/06/2022, , 
1,2228, , ,Reserved by: 2228
16,4560, , ,Reserved by: 4560
18,3192, , ,02/07/2022
2,2974,13/07/2022, , 
2,2974, ,17/08/2022, 
13,7692,19/09/2022, , 
4,1234, ,21/09/2022, 
13,9261, , ,Reserved by: 9261
3,5710,18/10/2022, , 
12,2876,03/11/2022, , 
13,7692, ,12/11/2022, 
9,6820,13/11/2022, , 
6,2974,18/11/2022, , 
13,9261,21/11/2022, , 
15,8875, ,06/12/2022, 
12,1111, , ,Reserved by: 1111
14,1784, ,14/12/2022, 
14,1221,15/12/2022, , 
